en	7769	68113	 lesen 	 brieven 	 gesanten 
n 	6101	63932	 lesen 	 brieven 	 zyn 
e 	4415	50887	 nae 	 de 	 vande 
de	3546	46451	 deser 	 de 	 vande 
er	5932	35813	 deser 	 hunner 	 gediscoureert 
t 	3415	32586	 heeft 	 met 	 gelegentheyt 
 d	1083	25741	 ditto 	 deser 	 de 
ge	4128	21897	 gesanten 	 gelegentheyt 	 gediscoureert 
nd	1905	21354	 vande 	 ende 	 landen 
an	2171	20443	 gesanten 	 van 	 bangry 
 v	1962	19811	 van 	 vande 	 vriendelyck 
ae	2037	17758	 nae 	 naer 	 haer 
te	2464	17494	 gesanten 	 te 	 contentement 
 s	1933	17268	 syner 	 soodanigen 	 soude 
ee	2513	17031	 heeft 	 gediscoureert 	 begeert 
 g	2586	16443	 gesanten 	 gelegentheyt 	 gediscoureert 
 e	516	16287	 ed 	 en 	 ende 
r 	1043	16023	 deser 	 hunner 	 syner 
s 	1962	14708	 rys 	 wichtmans 	 des 
 m	1050	13276	 met 	 maen 	 monterende 
re	2389	12695	 gediscoureert 	 despecheren 	 hare 
el	2366	12632	 gelegentheyt 	 vriendelyck 	 geladen 
oo	1480	12540	 soodanigen 	 antwoort 	 voor 
ve	1850	12245	 brieven 	 versocht 	 arriveren 
ch	2175	12231	 despecheren 	 versocht 	 geschieden 
 a	1391	11924	 antwoort 	 arriveren 	 atchin 
 o	1308	11204	 ootmoedige 	 op 	 oppercoopman 
et	1000	11164	 met 	 goet 	 raet 
 t	911	10808	 tyt 	 te 	 toegeseyt 
ck	1918	10768	 vriendelyck 	 dancksegginge 	 coninck 
me	1041	10767	 met 	 contentement 	 mede 
 h	872	10590	 h 	 heeft 	 hunner 
 w	733	10372	 waer 	 westcust 	 wichtmans 
on	1859	10179	 contentement 	 monterende 	 conincx 
ie	1509	9822	 brieven 	 vriendelyck 	 geschieden 
in	1619	9778	 princen 	 principalen 	 in 
 c	1465	9678	 contentement 	 campher 	 conincx 
se	1555	9511	 lesen 	 deser 	 toegeseyt 
va	437	9178	 van 	 vande 	 vaertuyghen 
es	1665	8849	 lesen 	 deser 	 gesanten 
 b	1706	8823	 brieven 	 bangry 	 begeert 
da	573	8679	 queda 	 soodanigen 	 dat 
or	1243	8631	 antwoort 	 voor 	 door 
al	987	8449	 principalen 	 ballast 	 malacca 
co	1151	8082	 gediscoureert 	 contentement 	 oppercoopman 
le	1571	7921	 lesen 	 gelegentheyt 	 principalen 
nt	1321	7812	 gesanten 	 gelegentheyt 	 antwoort 
st	1554	7493	 lasten 	 ballast 	 westcust 
 n	571	7200	 nae 	 naer 	 n^yoor 
ne	1184	7037	 hunner 	 syner 	 genegotieert 
he	983	6766	 heeft 	 gelegentheyt 	 despecheren 
ma	1000	6646	 maen 	 sumatra 	 oppercoopman 
so	585	6508	 soodanigen 	 versocht 	 soude 
rt	1313	6426	 gediscoureert 	 antwoort 	 begeert 
at	788	6188	 dat 	 dato 	 sumatra 
ed	1003	6167	 ed 	 queda 	 gediscoureert 
we	668	5950	 westcust 	 beweghen 	 wesen 
vo	606	5859	 voor 	 volgende 	 sanivoort 
ng	1494	5846	 bangry 	 dancksegginge 	 tingangh 
la	1149	5673	 landen 	 lamboe 	 geladen 
rs	965	5656	 versocht 	 voorstadt 	 persoon 
 i	476	5621	 in 	 inbeeldende 	 invaderen 
om	674	5606	 commissaris 	 om 	 comp 
wa	479	5522	 waer 	 waren 	 was 
ou	1014	5494	 gediscoureert 	 soude 	 wantrouwige 
 p	961	5466	 princen 	 principalen 	 peper 
be	1228	5419	 begeert 	 belooflde 	 bemachtigen 
ha	739	5317	 haer 	 hare 	 hadden 
ni	621	5314	 soodanigen 	 sanivoort 	 conincx 
h 	931	5301	 h 	 eerbiedigh 	 tingangh 
ke	1168	5291	 rycke 	 bedenckelyck 	 oirsaecke 
k 	724	5271	 vriendelyck 	 coninck 	 vastelyck 
oe	977	5232	 toegeseyt 	 goet 	 ootmoedige 
ec	1015	5103	 despecheren 	 secunda 	 gemaeckte 
ad	533	4956	 hadden 	 geladen 	 voorstadt 
ar	942	4867	 hare 	 arriveren 	 bharent 
yn	380	4847	 zyn 	 syner 	 zynde 
ra	1306	4822	 sumatra 	 raet 	 contrarie 
l 	789	4784	 veel 	 vol 	 sal 
ns	855	4685	 wichtmans 	 onse 	 alchinse 
sc	991	4637	 gediscoureert 	 geschieden 	 gescheyden 
na	626	4591	 nae 	 naer 	 laxamana 
op	488	4302	 op 	 oppercoopman 	 opclimmende 
di	842	4268	 ditto 	 gediscoureert 	 ootmoedige 
as	637	4181	 lasten 	 ballast 	 assisteeren 
ht	753	4166	 versocht 	 wichtmans 	 jacht 
 r	710	4132	 reede 	 rys 	 raet 
ac	878	4055	 jacht 	 malacca 	 bemachtigen 
to	621	4018	 ditto 	 toegeseyt 	 dato 
ey	843	3957	 gelegentheyt 	 toegeseyt 	 gescheyden 
uy	733	3882	 vaertuyghen 	 fluytschip 	 uyl 
 l	775	3831	 lesen 	 landen 	 lamboe 
ro	893	3809	 verovert 	 protecteeren 	 rooven 
yt	713	3807	 gelegentheyt 	 tyt 	 toegeseyt 
p 	186	3757	 op 	 fluytschip 	 comp 
a 	814	3722	 queda 	 sumatra 	 malacca 
rd	665	3672	 vermaerde 	 geconcipieerde 	 geprepareerde 
o 	380	3592	 ditto 	 dato 	 tico 
oc	396	3536	 versocht 	 nochte 	 mochten 
ta	696	3511	 voorstadt 	 stant 	 substantie 
eg	670	3483	 gelegentheyt 	 toegeseyt 	 begeert 
pe	737	3450	 despecheren 	 peper 	 oppercoopman 
em	657	3450	 contentement 	 bemachtigen 	 gemaeckte 
gh	946	3437	 eerbiedigh 	 vaertuyghen 	 tingangh 
ts	630	3301	 fluytschip 	 nederlantsen 	 herrewaerts 
ti	975	3228	 tingangh 	 tico 	 genegotieert 
ho	691	3216	 pistoolschoot 	 johor 	 bethoont 
sy	97	3165	 syner 	 sylieden 	 syne 
ri	788	3164	 brieven 	 princen 	 vriendelyck 
ot	374	3121	 ootmoedige 	 genegotieert 	 pistoolschoot 
y 	313	3114	 bangry 	 by 	 hy 
ic	737	3113	 wichtmans 	 tico 	 zich 
 j	299	3092	 jacht 	 jan 	 johor 
do	380	3072	 door 	 doen 	 dooden 
pa	588	3028	 principalen 	 partye 	 geprepareerde 
yc	744	3017	 vriendelyck 	 vastelyck 	 rycke 
m 	265	2981	 om 	 hem 	 ruym 
ly	721	2901	 vriendelyck 	 vastelyck 	 verclyninge 
ca	659	2901	 malacca 	 campher 	 malaccas 
ls	305	2882	 pistoolschoot 	 (als 	 als 
am	652	2875	 lamboe 	 priaman 	 campher 
ev	472	2855	 brieven 	 verbleven 	 gevolge 
ll	515	2671	 ballast 	 sullen 	 alleen 
ol	513	2670	 volgende 	 solpher 	 pistoolschoot 
ga	482	2658	 tingangh 	 legatie 	 prerogaliven 
it	496	2565	 ditto 	 johoriten 	 johorit 
go	332	2550	 goet 	 genegotieert 	 gouverneurs 
si	619	2545	 assisteeren 	 assistentie 	 versien 
sa	557	2510	 gesanten 	 sayer 	 sanivoort 
is	620	2486	 gediscoureert 	 grissee 	 pistoolschoot 
li	865	2451	 sylieden 	 opclimmende 	 verliondt 
tr	482	2373	 sumatra 	 contrarie 	 wantrouwige 
nc	461	2343	 princen 	 principalen 	 dancksegginge 
ud	189	2311	 soude 	 opgehouden 	 huyshouden 
eb	362	2270	 hebben 	 hebbende 	 gebruyckcn 
ig	610	2232	 soodanigen 	 ootmoedige 	 eerbiedigh 
 1	363	2211	 10 	 1125 	 13:2 
0 	248	2155	 10 	 50 	 60 
ja	225	2128	 jacht 	 jan 	 ja 
ss	534	2095	 grissee 	 commissaris 	 assisteeren 
lo	662	2068	 belooflde 	 lol 	 glorieusen 
ys	323	2058	 rys 	 huyshouden 	 geëyscht 
ff	476	2051	 brieff 	 off 	 offle 
' 	2	2033	 d' 	 t' 
 u	254	1991	 uyl 	 uemen 	 uytierste 
mo	410	1968	 ootmoedige 	 monterende 	 mochten 
ba	527	1957	 bangry 	 ballast 	 ambassaten 
 2	207	1928	 2 	 252627 	 22 
hi	318	1902	 geschieden 	 hier 	 fluytschip 
d'	13	1868	 d' 	 eend'ander 	 vand'overste 
dd	87	1865	 hadden 	 middel 	 bemiddelen 
ap	341	1864	 gecapleerl 	 vrunischap 	 haperingh 
mi	312	1805	 commissaris 	 misnoegende 	 minder 
nn	276	1790	 hunner 	 daerinne 	 geordonneert 
lv	150	1790	 selver 	 deselve 	 weshalven 
no	332	1772	 nochte 	 genoechsame 	 misnoegende 
ov	280	1765	 over 	 verovert 	 daerenboven 
ur	388	1752	 gediscoureert 	 faveur 	 geproccureert 
bo	497	1751	 lamboe 	 verbont 	 daerenboven 
rl	465	1732	 nederlantsen 	 verliondt 	 gecapleerl 
ry	305	1723	 bangry 	 rys 	 rycke 
d 	185	1705	 ed 	 gerard 	 d*ed 
 '	55	1674	 't 	 's 	 'by 
lt	341	1674	 gedeelte 	 hielt 	 gemelte 
ld	256	1671	 belooflde 	 inbeeldende 	 voldoeningh 
br	314	1570	 brieven 	 brenght 	 brieff 
hu	172	1566	 hunner 	 hun 	 hulpe 
ag	333	1547	 ragiepour 	 dagh 	 mueragie 
pr	366	1533	 princen 	 principalen 	 priaman 
ul	311	1515	 sulcx 	 sullen 	 speculatien 
  	1	1509	  
ft	140	1499	 heeft 	 schrift 	 ofte 
eu	421	1480	 glorieusen 	 periculeusen 	 faveur 
lc	182	1476	 alchin 	 sulcx 	 alchinse 
't	14	1442	 't 	 van't 	 nae't 
un	195	1441	 hunner 	 hun 	 gunt 
tt	408	1427	 ditto 	 schatten 	 facetten 
su	245	1409	 sumatra 	 substantie 	 sulcx 
wi	223	1392	 wichtmans 	 wantrouwige 	 wierl 
il	413	1388	 johorilen 	 previlegien 	 verwildert 
yd	254	1372	 gescheyden 	 tydingh 	 wyderingh 
of	185	1365	 belooflde 	 off 	 offle 
rc	303	1325	 oppercoopman 	 verclaert 	 verclyninge 
rn	182	1278	 vernielight 	 gouverneurs 	 gouverneur 
ep	324	1276	 peper 	 geprepareerde 	 reputatie 
ef	245	1270	 heeft 	 brieff 	 reformatie 
by	92	1262	 by 	 (by 	 concubyn 
mp	240	1259	 campher 	 comp 	 compsle 
2 	147	1255	 13:2 	 2 	 22 
mm	235	1232	 commissaris 	 opclimmende 	 immers 
gr	174	1216	 bangry 	 grissee 	 groeten 
ia	366	1216	 priaman 	 aliantie 	 diamant 
qu	318	1214	 queda 	 conquesle 	 delinquanlen 
 f	291	1207	 fluytschip 	 fieren 	 firmalie 
ew	235	1202	 beweghen 	 herrewaerts 	 bewogen 
cl	239	1197	 verclaert 	 opclimmende 	 verclyninge 
tu	227	1185	 vaertuyghen 	 portugiesen 	 20sturx 
ua	222	1160	 delinquanlen 	 avantguarde 	 guarde 
od	208	1153	 soodanigen 	 dooden 	 accommodabelsle 
th	270	1137	 gelegentheyt 	 bethoont 	 thouen 
wo	165	1131	 antwoort 	 bewogen 	 worden 
us	379	1127	 westcust 	 excuseert 	 glorieusen 
f 	144	1116	 brieff 	 off 	 aff 
vi	281	1116	 adviseert 	 previlegien 	 riviere 
bb	56	1109	 hebben 	 hebbende 	 schobbejacken 
os	339	1090	 malroose 	 ditlos 	 posten 
ye	238	1088	 sayer 	 partye 	 waerdye 
ea	168	1085	 realen 	 reacl 	 reael 
ty	128	1047	 tyt 	 partye 	 tydingh 
uc	286	1025	 gereduceerl 	 successive 	 successeur 
rg	291	1021	 sorgende 	 doorgaens 	 naergelaten 
lu	237	1020	 fluytschip 	 lucht 	 lust 
po	329	1009	 portugiesen 	 voorspoedige 	 indrapoura 
rm	224	995	 vermaerde 	 firmalie 	 reformatie 
dr	250	994	 redresseren 	 indrapoura 	 ordre 
mb	203	984	 lamboe 	 combineren 	 ambassaten 
pp	171	979	 oppercoopman 	 apprehenlie 	 apparent 
dt	202	970	 gelandt 	 voorstadt 	 landt 
ru	256	970	 vrunischap 	 gecorumpeert 	 barus 
rr	203	966	 arriveren 	 herrewaerts 	 grraans 
ut	243	963	 reputatie 	 hout 	 resolutie 
x 	77	959	 conincx 	 sulcx 	 zulcx 
sl	387	958	 conquesle 	 hooghslen 	 slaet 
vr	228	949	 vriendelyck 	 vreese 	 vrunischap 
ay	172	946	 sayer 	 may 	 thayl 
uw	250	892	 wantrouwige 	 mistrouwen 	 ontrouw 
pi	182	889	 pistoolschoot 	 geconcipieerde 	 concpiesten 
u 	229	877	 ticou 	 nu 	 myneu 
yl	228	842	 sylieden 	 d*eylanden 	 gehoorsaemheyl 
gi	253	842	 dancksegginge 	 portugiesen 	 previlegien 
eh	215	842	 opgehouden 	 gehoorsaemheyl 	 apprehenlie 
 3	131	829	 321 	 3 	 30 
hs	184	813	 genoechsame 	 hooghslen 	 chryghsmacht 
 4	122	795	 4 	 4600 	 40 
iv	112	790	 arriveren 	 sanivoort 	 prerogaliven 
ip	145	781	 principalen 	 fluytschip 	 geconcipieerde 
hr	122	780	 schrift 	 schriftelycke 	 chryghsmacht 
kt	156	771	 gemaeckte 	 vuylesieckte 	 verryckt 
ce	236	764	 princen 	 gereduceerl 	 successive 
sp	285	757	 despecheren 	 speculatien 	 voorspoedige 
cx	68	741	 conincx 	 sulcx 	 zulcx 
4 	136	741	 4 	 254 	 24 
tw	133	740	 antwoort 	 facetwerck 	 tweede 
af	329	738	 affcortinge 	 geaffligeert 	 affscheyt 
j 	203	735	 27j 	 ivj 	 vj 
5 	96	728	 1125 	 5 	 95 
av	148	711	 faveur 	 javaense 	 travaden 
bl	164	709	 verbleven 	 blyft 	 blyvende 
 q	121	701	 queda 	 quamen 	 queen 
00	105	694	 600 	 200 	 500 
og	187	686	 hoogh 	 aengetogen 	 hooghslen 
jo	115	680	 johor 	 johoriten 	 johorit 
id	169	677	 middel 	 bemiddelen 	 subsidien 
je	169	675	 bootjen 	 sluckjens 	 stuckjens 
pl	151	674	 gecapleerl 	 vreempl 	 gepleecht 
cc	149	661	 malacca 	 malaccas 	 accommodabelsle 
 k	176	660	 krack 	 krygen 	 kaertekoe 
uv	52	657	 gouverneurs 	 gouverneur 	 jangounauvoan 
ue	301	656	 queda 	 mueren 	 conquesle 
rw	141	646	 verwachten 	 verwildert 	 verwart 
10	83	637	 10 	 10:8 	 100 
ct	172	627	 protecteeren 	 directie 	 instructie 
 5	88	627	 5 	 50 	 500 
fe	205	607	 dieffelyck 	 defentie 	 infesteren 
hy	72	598	 hy 	 parthye 	 schynsel 
bi	167	592	 eerbiedigh 	 combineren 	 binnen 
8 	110	590	 75648 	 10:8 	 8 
ug	112	581	 portugiesen 	 rugge 	 portugees 
6 	82	580	 79756 	 6 	 106 
rv	147	579	 overvloet 	 overvloedigh 	 ondervraecht 
3 	71	578	 3 	 133 	 1263 
im	207	577	 opclimmende 	 immers 	 panglima 
ir	218	574	 oirsaecke 	 firmalie 	 comptoirs 
rh	171	564	 overhandight 	 opperhooft 	 metterhaest 
sg	46	564	 mitsgaders 	 alitsgaders 	 insgelycx 
au	223	558	 augusto 	 augusly 	 augusty 
my	41	555	 myn 	 myne 	 my 
 z	103	552	 zyn 	 zynde 	 zyne 
cr	190	543	 gecregen 	 nacr 	 croone 
 6	77	530	 60 	 6 	 600 
lg	83	528	 volgende 	 gevolge 	 aenvolgende 
 (	170	520	 (als 	 (by 	 (tot 
1 	93	519	 321 	 1 	 21 
pm	30	515	 oppercoopman 	 coopman 	 coopmanschappen 
du	135	492	 gereduceerl 	 duysent 	 duystere 
ya	93	481	 vyanden 	 orangkaya 	 vyant 
yg	103	479	 vaertuyghen 	 weygeringh 	 krygen 
i 	236	478	 mei 	 ffi 	 ambassadeui 
fl	195	475	 fluytschip 	 belooflde 	 offle 
tc	98	469	 westcust 	 atchin 	 westcusts 
 8	64	457	 8 	 80 	 8598 
cu	151	455	 westcust 	 secunda 	 excuseert 
pt	126	453	 comptoirs 	 september 	 coniptoir 
wy	103	447	 wy 	 wyderingh 	 wyders 
20	62	439	 20sturx 	 200 	 209 
ei	208	435	 mei 	 vermeit 	 eiide 
ek	180	433	 treek 	 onbekenl 	 kaertekoe 
7 	73	430	 7 	 252627 	 17 
yv	71	426	 blyvende 	 suyver 	 schryven 
gu	108	421	 gunt 	 gunstigh 	 augusto 
gg	76	420	 dancksegginge 	 rugge 	 seggen 
ph	83	405	 solpher 	 campher 	 stephanus 
rb	150	398	 eerbiedigh 	 verbleven 	 verbont 
 y	69	397	 yder 	 ysere 	 yser 
ab	183	395	 accommodabelsle 	 vagabonden 	 fabriceren 
io	157	391	 verliondt 	 /aiostroiia 	 cionincx 
bu	115	391	 buyten 	 forcenburgh 	 buytenste 
nu	90	389	 stephanus 	 continueel 	 nu 
ui	162	385	 schuit 	 ambassadeui 	 gouinck 
mt	73	384	 omtrent 	 'omtrent 	 ruymte 
tv	92	375	 santvoort 	 uytval 	 uytvercoren 
tg	164	375	 goetgevonden 	 avantguarde 	 dootgescholen 
nl	190	374	 preminenlien 	 mandamenlen 	 gelegenlheyt 
vy	55	370	 vyanden 	 vyfligh,soo 	 advys 
c 	85	361	 etc 	 uwc 	 hoc 
oi	145	360	 oirsaecke 	 comptoirs 	 cleynoilien 
fi	185	356	 fieren 	 firmalie 	 ffi 
ki	116	348	 kinderen 	 arrackie 	 geluckige 
 7	59	344	 7 	 75648 	 79756 
sw	82	338	 swaeren 	 swarte 	 swarten 
tj	115	336	 bootjen 	 tonsitja 	 pitjens 
9 	73	318	 29 	 209 	 19 
ci	136	317	 principalen 	 geconcipieerde 	 artiflciele 
ms	99	315	 willemsz 	 roomse 	 blixems-vuer 
dv	59	312	 adviseert 	 advance 	 advys 
lh	80	311	 gelegenlheyt 	 alhoewel 	 gebelh 
cb	203	310	 choromandelscbe 	 scbuldigh 	 gantscben 
ak	59	309	 geraken 	 ak 	 welgaka 
50	56	303	 50 	 150 	 500 
zy	25	298	 zyn 	 zynde 	 zyne 
oy	92	297	 oyt 	 noyt 	 coyangh 
12	69	296	 1125 	 12 	 1263 
ob	90	291	 jacob 	 schobbejacken 	 probeeren 
nw	75	281	 jegenwoordigh 	 jegenwoordigen 	 inwoonderen 
